timestamp,open,high,low,close,volume
2024-01-02,185.64,186.95,185.32,185.92,52000000
2024-01-03,184.22,185.88,183.43,184.25,58400000
2024-01-04,182.15,183.09,180.88,181.91,71900000
2024-01-05,181.99,182.76,180.17,181.18,62300000
2024-01-08,182.09,185.60,181.50,185.56,59100000
2024-01-09,183.92,185.15,182.73,185.14,42800000
2024-01-10,184.35,186.40,183.92,186.19,46200000
2024-01-11,186.54,187.05,183.62,185.59,49100000
2024-01-12,186.06,186.74,185.19,185.92,40500000
2024-01-16,182.16,184.26,180.93,183.63,65600000
2024-01-17,181.27,182.93,180.30,182.68,47300000
2024-01-18,186.09,189.14,185.83,188.63,78000000
2024-01-19,189.33,191.95,188.82,191.56,68900000
2024-01-22,192.30,195.33,192.26,193.89,60100000
2024-01-23,195.02,195.75,193.83,195.18,42400000
2024-01-24,195.42,196.38,194.34,194.50,53700000
2024-01-25,195.22,196.27,193.11,194.17,54800000
2024-01-26,194.27,194.76,191.94,192.42,44300000
2024-01-29,192.01,192.20,189.58,191.73,47100000
2024-01-30,190.94,191.80,187.47,188.04,55500000
2024-01-31,187.04,187.10,184.35,184.40,55700000
2024-02-01,183.99,186.95,183.82,186.86,64900000
2024-02-02,179.86,187.33,179.25,185.85,102500000
2024-02-05,188.15,189.25,185.84,187.68,69700000
2024-02-06,186.86,189.31,186.77,189.30,43500000
2024-02-07,190.64,191.05,188.61,189.41,53400000
2024-02-08,189.39,189.54,187.35,188.32,40800000
2024-02-09,188.65,189.99,188.00,188.85,45200000
2024-02-12,188.42,188.67,186.79,187.15,41200000
2024-02-13,185.77,186.21,183.51,185.04,56000000
